N,P,K,pH,Temp(°C),Humidity(%),Moisture(%),Rainfall(cm),Crop,,,,,,,,,,,,,,,
146,68,53,6.3,16,71.1,65,56,Bean,,,,,,,,,,,,,,,
221,59,51,5.9,18,67.5,66,78,Bean,,,,,,,,,,,,,,,
266.5,50,48,6,21,67.1,65,50,Bean,,,,,,,,,,,,,,,
163,44.5,46,6,22,67.8,57,66,Bean,,,,,,,,,,,,,,,
158,68,55,6.1,16,68.2,55,46,Bean,,,,,,,,,,,,,,,
257,60,49,6.2,20,73.9,65,57,Bean,,,,,,,,,,,,,,,
326.5,52,58,6.2,26,71.1,52,69,Bean,,,,,,,,,,,,,,,
171,47.5,60,5.9,16,66,59,56,Bean,,,,,,,,,,,,,,,
143,47,27,5.9,17,70,55,72,Bean,,,,,,,,,,,,,,,
220,44,33,6,29,66.5,52,48,Bean,,,,,,,,,,,,,,,
265,41,39,6,30,71.5,67,57,Bean,,,,,,,,,,,,,,,
174,44,48,6,26,71.7,66,56,Bean,,,,,,,,,,,,,,,
148,47,29,6.2,23,74.4,52,66,Bean,,,,,,,,,,,,,,,
233,45,38,5.9,25,70.4,61,70,Bean,,,,,,,,,,,,,,,
288,43,47,6.1,16,74,65,51,Bean,,,,,,,,,,,,,,,
151,47,59,6.2,21,68.7,70,43,Bean,,,,,,,,,,,,,,,
143,47,27,6,27,70.1,61,53,Bean,,,,,,,,,,,,,,,
219,44,32,6.3,19,65.5,51,48,Bean,,,,,,,,,,,,,,,
265,41,37,5.9,26,70.6,52,74,Bean,,,,,,,,,,,,,,,
174,44,45,6,22,67.3,70,44,Bean,,,,,,,,,,,,,,,
155,47,29,5.9,19,69.5,65,72,Bean,,,,,,,,,,,,,,,
255,45,30,6.1,26,68.3,52,53,Bean,,,,,,,,,,,,,,,
325,43,47,6.3,20,70.7,70,45,Bean,,,,,,,,,,,,,,,
151,47,59,6.3,16,74.7,60,74,Bean,,,,,,,,,,,,,,,
147,48,30,5.9,23,65.3,68,57,Bean,,,,,,,,,,,,,,,
222,45,39,6,17,69.1,57,41,Bean,,,,,,,,,,,,,,,
268,42,48,6,20,72.1,58,45,Bean,,,,,,,,,,,,,,,
176,47,60,6.1,26,74.3,51,55,Bean,,,,,,,,,,,,,,,
147,46,26,6.1,25,73.3,69,64,Bean,,,,,,,,,,,,,,,
220,43,33,6.2,27,72.5,53,44,Bean,,,,,,,,,,,,,,,
275,40,28,6,30,73,55,57,Bean,,,,,,,,,,,,,,,
149,42,44,6.1,26,74.9,50,74,Bean,,,,,,,,,,,,,,,
149,46,31,6,19,69.2,59,58,Bean,,,,,,,,,,,,,,,
232,47,39,6,17,71.6,54,41,Bean,,,,,,,,,,,,,,,
275,45,48,6,22,65.5,66,76,Bean,,,,,,,,,,,,,,,
149,48,28,6.3,25,68.2,50,66,Bean,,,,,,,,,,,,,,,
148,47,29,6.3,17,66.1,56,44,Bean,,,,,,,,,,,,,,,
223,44,33,6,24,69.7,67,67,Bean,,,,,,,,,,,,,,,
284,41,36,6,19,71.1,65,45,Bean,,,,,,,,,,,,,,,
176,43,27,6,30,66.7,63,44,Bean,,,,,,,,,,,,,,,
142,46,42,6.2,15,69.6,64,77,Bean,,,,,,,,,,,,,,,
222,43,34,6.2,15,68.8,53,47,Bean,,,,,,,,,,,,,,,
263,42,41,6.1,29,65.1,58,78,Bean,,,,,,,,,,,,,,,
168,44,42,6.2,20,69.8,50,76,Bean,,,,,,,,,,,,,,,
149,47,29,6.2,26,69.6,63,71,Bean,,,,,,,,,,,,,,,
231,44,38,6.1,26,66.8,62,64,Bean,,,,,,,,,,,,,,,
247,444,46,6.2,28,70.8,55,47,Bean,,,,,,,,,,,,,,,
175,48,55,6.2,16,69.5,56,76,Bean,,,,,,,,,,,,,,,
146,48,27,5.9,21,69.4,57,67,Bean,,,,,,,,,,,,,,,
221,43,31,6.1,15,74.5,68,48,Bean,,,,,,,,,,,,,,,
269,41,37,6.3,28,68.1,59,69,Bean,,,,,,,,,,,,,,,
170,44,45,6.1,21,71.2,65,78,Bean,,,,,,,,,,,,,,,
147,68,52,6.2,15,65.1,70,47,Bean,,,,,,,,,,,,,,,
224,62,51,6,17,67.2,50,40,Bean,,,,,,,,,,,,,,,
267,51,49,6,16,65.6,60,61,Bean,,,,,,,,,,,,,,,
163,45,49,6.1,24,74,63,52,Bean,,,,,,,,,,,,,,,
153,67,54,6.1,25,68.4,70,77,Bean,,,,,,,,,,,,,,,
236,59,56,6.3,17,65.4,61,49,Bean,,,,,,,,,,,,,,,
290,53,57,6.1,28,72.9,52,71,Bean,,,,,,,,,,,,,,,
156,49,59,5.9,21,67.4,62,79,Bean,,,,,,,,,,,,,,,
147,66,52,6.1,21,71.1,54,49,Bean,,,,,,,,,,,,,,,
246,56,52,6.2,21,73.4,59,67,Bean,,,,,,,,,,,,,,,
266.5,51,47,6,30,71.7,65,45,Bean,,,,,,,,,,,,,,,
150,55,46,6.2,23,69.3,70,67,Bean,,,,,,,,,,,,,,,
159,58,55,6.1,18,70,67,66,Bean,,,,,,,,,,,,,,,
254,59,49,6,22,66,69,76,Bean,,,,,,,,,,,,,,,
232,49,58,5.9,28,68.8,68,65,Bean,,,,,,,,,,,,,,,
146,46,60,6,30,69,59,53,Bean,,,,,,,,,,,,,,,
142,45,27,6.2,29,69.6,51,55,Bean,,,,,,,,,,,,,,,
223,42,33,6.1,27,66.8,53,75,Bean,,,,,,,,,,,,,,,
258,43,39,6.2,28,70.8,70,69,Bean,,,,,,,,,,,,,,,
151,44,47,6.2,19,69.5,56,40,Bean,,,,,,,,,,,,,,,
139,46,30,5.9,17,69.4,55,51,Bean,,,,,,,,,,,,,,,
234,45,39,6.1,21,74.5,59,40,Bean,,,,,,,,,,,,,,,
259,43,46,6.3,19,68.1,56,54,Bean,,,,,,,,,,,,,,,
154,47,58,6.1,15,71.2,57,79,Bean,,,,,,,,,,,,,,,
148,47,29,6.2,18,65.1,50,77,Bean,,,,,,,,,,,,,,,
227,44,33,6,15,67.2,56,66,Bean,,,,,,,,,,,,,,,
267,41,36,6,19,65.6,61,47,Bean,,,,,,,,,,,,,,,
163,43,44,6.1,18,74,53,70,Bean,,,,,,,,,,,,,,,
164,48,31,6.1,17,68.4,52,48,Bean,,,,,,,,,,,,,,,
264,46,32,6.3,23,65.4,53,70,Bean,,,,,,,,,,,,,,,
327,44,48,6.1,16,72.9,55,77,Bean,,,,,,,,,,,,,,,
155,48,59,5.9,30,67.4,66,72,Bean,,,,,,,,,,,,,,,
153,48,29,6.1,30,71.1,50,40,Bean,,,,,,,,,,,,,,,
234,47,38,6.2,27,73.4,50,52,Bean,,,,,,,,,,,,,,,
259,45,47,6,19,71.7,52,45,Bean,,,,,,,,,,,,,,,
172,47,59,6.2,28,69.3,67,69,Bean,,,,,,,,,,,,,,,
148,49,27,6,25,66.3,61,56,Bean,,,,,,,,,,,,,,,
232,47,32,5.9,27,71.7,57,79,Bean,,,,,,,,,,,,,,,
268,42,27,6.2,20,73.6,70,68,Bean,,,,,,,,,,,,,,,
156,43,45,5.9,21,74.1,56,76,Bean,,,,,,,,,,,,,,,
148,46,29,6,20,70.6,58,41,Bean,,,,,,,,,,,,,,,
233,45,38,6.3,21,72,56,79,Bean,,,,,,,,,,,,,,,
288,45,47,6,26,65.4,62,53,Bean,,,,,,,,,,,,,,,
172,47,57,6.1,29,66.4,51,73,Bean,,,,,,,,,,,,,,,
144,46,29,6,24,71.9,67,42,Bean,,,,,,,,,,,,,,,
223,43,33,6.2,29,67.7,59,54,Bean,,,,,,,,,,,,,,,
269,42,38,6,29,68,53,53,Bean,,,,,,,,,,,,,,,
171,43,44,6.2,22,74.9,50,75,Bean,,,,,,,,,,,,,,,
143,48,29,6.3,21,71.1,50,75,Bean,,,,,,,,,,,,,,,
228,47,34,5.9,22,67.5,62,47,Bean,,,,,,,,,,,,,,,
268,42,41,6,30,67.1,50,62,Bean,,,,,,,,,,,,,,,
159,43,47,6,16,67.8,70,42,Bean,,,,,,,,,,,,,,,
149,48,31,6.1,26,68.2,56,76,Bean,,,,,,,,,,,,,,,
232,46,37,6.2,30,73.9,59,49,Bean,,,,,,,,,,,,,,,
269,44,45,6.2,20,71.1,63,50,Bean,,,,,,,,,,,,,,,
150,48,57,5.9,23,66,52,72,Bean,,,,,,,,,,,,,,,
144,46,39,5.9,26,70,52,57,Bean,,,,,,,,,,,,,,,
222,43,34,6,26,66.5,57,52,Bean,,,,,,,,,,,,,,,
268,42,36,6,25,71.5,61,58,Bean,,,,,,,,,,,,,,,
167,45,47,6,23,71.7,62,70,Bean,,,,,,,,,,,,,,,
148,67,54,6.2,30,74.4,65,52,Bean,,,,,,,,,,,,,,,
224,60,51,5.9,29,70.4,66,59,Bean,,,,,,,,,,,,,,,
170,46,40,6.3,22,80,74,141,Boro Rice,,,,,,,,,,,,,,,
154,43,73,6.1,20,80.6,72,126,Boro Rice,,,,,,,,,,,,,,,
243,39,105,6.3,29,82,79,121,Boro Rice,,,,,,,,,,,,,,,
265,41,140,6.3,24,82.9,81,119,Boro Rice,,,,,,,,,,,,,,,
164,46,36,6.2,37,85,81,120,Boro Rice,,,,,,,,,,,,,,,
174,41,61,6.1,37,83.4,76,120,Boro Rice,,,,,,,,,,,,,,,
371,36,85,6.1,27,77.4,82,127,Boro Rice,,,,,,,,,,,,,,,
177,37,112,6.2,37,77.5,79,137,Boro Rice,,,,,,,,,,,,,,,
160,45,34,6.5,37,84,83,134,Boro Rice,,,,,,,,,,,,,,,
168,40,53,6.3,40,83.3,80,116,Boro Rice,,,,,,,,,,,,,,,
351,34,72,6.2,22,75.9,85,137,Boro Rice,,,,,,,,,,,,,,,
243,34,94,6.1,37,85,83,140,Boro Rice,,,,,,,,,,,,,,,
163,47,35,6.1,31,84.9,76,123,Boro Rice,,,,,,,,,,,,,,,
147,46,58,6.1,27,80,85,113,Boro Rice,,,,,,,,,,,,,,,
363,44,80,6.2,34,76.5,70,120,Boro Rice,,,,,,,,,,,,,,,
244.6,48,105,6.4,27,80.6,84,133,Boro Rice,,,,,,,,,,,,,,,
156,46,31,6.3,34,84.1,77,122,Boro Rice,,,,,,,,,,,,,,,
162,41,46,6.3,31,78.9,72,118,Boro Rice,,,,,,,,,,,,,,,
331,36,60,6.2,37,76.1,83,139,Boro Rice,,,,,,,,,,,,,,,
203,37,77,6.4,38,79,74,124,Boro Rice,,,,,,,,,,,,,,,
152,45,30,6.4,34,83.9,71,123,Boro Rice,,,,,,,,,,,,,,,
158,38,43,6.3,20,82.7,83,113,Boro Rice,,,,,,,,,,,,,,,
308,31,55,6.2,31,82.4,71,114,Boro Rice,,,,,,,,,,,,,,,
215,30,70,6.3,39,80.5,76,129,Boro Rice,,,,,,,,,,,,,,,
148,44,28,6.4,31,78.6,84,139,Boro Rice,,,,,,,,,,,,,,,
169,37,35,6.3,39,79.6,82,135,Boro Rice,,,,,,,,,,,,,,,
291,29,42,6.5,29,78,83,121,Boro Rice,,,,,,,,,,,,,,,
228,27,52,6.3,23,80.9,80,139,Boro Rice,,,,,,,,,,,,,,,
170,46,40,6.3,27,84.2,80,147,Boro Rice,,,,,,,,,,,,,,,
166,43,73,6.3,36,80.2,71,121,Boro Rice,,,,,,,,,,,,,,,
248,39,105,6.4,23,81.2,81,139,Boro Rice,,,,,,,,,,,,,,,
281.6,41,144,6.3,38,77,84,115,Boro Rice,,,,,,,,,,,,,,,
164,46,36,6.4,23,77.2,70,132,Boro Rice,,,,,,,,,,,,,,,
173,41,61,6.3,28,83.9,81,125,Boro Rice,,,,,,,,,,,,,,,
371,36,85,6.4,28,75.3,81,125,Boro Rice,,,,,,,,,,,,,,,
208,37,112,6.2,33,76.5,76,124,Boro Rice,,,,,,,,,,,,,,,
160,45,34,6.1,23,79.7,82,142,Boro Rice,,,,,,,,,,,,,,,
170,40,53,6.4,40,82.5,78,133,Boro Rice,,,,,,,,,,,,,,,
351,34,72,6.1,28,78.7,79,140,Boro Rice,,,,,,,,,,,,,,,
196,34,94,6.2,31,80.7,75,146,Boro Rice,,,,,,,,,,,,,,,
165,46,38,6.4,36,78.8,84,145,Boro Rice,,,,,,,,,,,,,,,
153,42,65,6.3,23,79.9,76,137,Boro Rice,,,,,,,,,,,,,,,
375,38,92,6.3,20,77.3,77,133,Boro Rice,,,,,,,,,,,,,,,
278,40,122,6.3,34,78.1,71,150,Boro Rice,,,,,,,,,,,,,,,
163,46,36,6.4,22,85,82,148,Boro Rice,,,,,,,,,,,,,,,
153,41,60,6.3,20,75.5,83,113,Boro Rice,,,,,,,,,,,,,,,
363,36,84,6.2,25,83.3,77,120,Boro Rice,,,,,,,,,,,,,,,
186,37,111,6.4,33,82.5,80,119,Boro Rice,,,,,,,,,,,,,,,
160,46,36,6.1,25,78.5,83,135,Boro Rice,,,,,,,,,,,,,,,
168,41,60,6.2,26,81.9,80,148,Boro Rice,,,,,,,,,,,,,,,
350,36,84,6.5,23,77.7,82,149,Boro Rice,,,,,,,,,,,,,,,
234,37,111,6.3,37,83,82,133,Boro Rice,,,,,,,,,,,,,,,
152,44,28,6.5,34,79.8,79,147,Boro Rice,,,,,,,,,,,,,,,
168,36,36,6.1,20,76.7,78,150,Boro Rice,,,,,,,,,,,,,,,
308,28,44,6.2,31,75.6,83,147,Boro Rice,,,,,,,,,,,,,,,
266,26,55,6.2,24,80.8,72,128,Boro Rice,,,,,,,,,,,,,,,
163,47,35,6.5,19,84.3,75,118,Boro Rice,,,,,,,,,,,,,,,
158,33,25,6.3,35,76.1,81,133,Boro Rice,,,,,,,,,,,,,,,
262,20,18,6.3,19,76.9,83,142,Boro Rice,,,,,,,,,,,,,,,
277,14,13,6.2,26,80.9,75,136,Boro Rice,,,,,,,,,,,,,,,
194,62,56,6.2,22,83.9,74,129,Boro Rice,,,,,,,,,,,,,,,
160,50,45,6.2,28,77.1,80,113,Boro Rice,,,,,,,,,,,,,,,
293,38,39,6.3,19,82,82,119,Boro Rice,,,,,,,,,,,,,,,
207.4,22,21,6.1,27,80.4,81,118,Boro Rice,,,,,,,,,,,,,,,
168,67,64,6.2,20,81.6,73,145,Boro Rice,,,,,,,,,,,,,,,
164,58,84,6.4,33,84,80,142,Boro Rice,,,,,,,,,,,,,,,
265,41,42,6.3,29,81.2,76,132,Boro Rice,,,,,,,,,,,,,,,
174,33,46,6.4,31,75.1,71,139,Boro Rice,,,,,,,,,,,,,,,
163,47,35,6.4,19,77.2,79,114,Boro Rice,,,,,,,,,,,,,,,
172,34,29,6.2,37,77.4,83,119,Boro Rice,,,,,,,,,,,,,,,
262,21,23,6.2,26,76.7,72,135,Boro Rice,,,,,,,,,,,,,,,
173,14,20,6.2,19,83.3,78,115,Boro Rice,,,,,,,,,,,,,,,
390,118,109,6.1,40,77.6,79,128,Boro Rice,,,,,,,,,,,,,,,
147,110,75,6.3,23,84.5,81,114,Boro Rice,,,,,,,,,,,,,,,
220,102,61,6.3,19,77,81,139,Boro Rice,,,,,,,,,,,,,,,
350,98,69,6.3,31,83.2,75,134,Boro Rice,,,,,,,,,,,,,,,
290,90,55,6.1,21,77.1,80,137,Boro Rice,,,,,,,,,,,,,,,
163,82,41,6.4,20,81.2,76,125,Boro Rice,,,,,,,,,,,,,,,
330,78,49,6.2,31,83.7,72,148,Boro Rice,,,,,,,,,,,,,,,
270,70,35,6.2,21,78.3,80,112,Boro Rice,,,,,,,,,,,,,,,
180,62,21,6.4,28,80.6,79,132,Boro Rice,,,,,,,,,,,,,,,
150,58,29,6.3,40,84.1,73,148,Boro Rice,,,,,,,,,,,,,,,
250,50,25,6.3,39,78.9,74,134,Boro Rice,,,,,,,,,,,,,,,
160,42,21,6.2,31,76.1,78,117,Boro Rice,,,,,,,,,,,,,,,
165,46,38,6.4,31,79,75,148,Boro Rice,,,,,,,,,,,,,,,
147,43,65,6.4,39,83.9,77,142,Boro Rice,,,,,,,,,,,,,,,
376,38,92,6.3,37,82.7,80,142,Boro Rice,,,,,,,,,,,,,,,
216,40,122,6.2,27,82.4,72,120,Boro Rice,,,,,,,,,,,,,,,
163,46,36,6.3,28,80.5,79,148,Boro Rice,,,,,,,,,,,,,,,
168,41,60,6.4,39,78.6,79,143,Boro Rice,,,,,,,,,,,,,,,
363,36,84,6.3,39,79.6,83,124,Boro Rice,,,,,,,,,,,,,,,
176,37,111,6.5,38,78,77,137,Boro Rice,,,,,,,,,,,,,,,
160,46,36,6.3,23,80.9,74,120,Boro Rice,,,,,,,,,,,,,,,
166,41,60,6.3,33,84.2,80,146,Boro Rice,,,,,,,,,,,,,,,
350,36,84,6.3,37,80.2,78,124,Boro Rice,,,,,,,,,,,,,,,
186,37,111,6.4,25,81.2,76,119,Boro Rice,,,,,,,,,,,,,,,
152,44,28,6.3,26,77,72,121,Boro Rice,,,,,,,,,,,,,,,
167,36,36,6.4,28,77.2,84,122,Boro Rice,,,,,,,,,,,,,,,
308,28,44,6.3,32,83.9,83,117,Boro Rice,,,,,,,,,,,,,,,
224,26,55,6.4,29,75.3,81,142,Boro Rice,,,,,,,,,,,,,,,
162,44,38,6.3,26,80,77,129,Boro Rice,,,,,,,,,,,,,,,
171,42,74,6.1,35,80.6,72,131,Boro Rice,,,,,,,,,,,,,,,
380,38,104,6.3,21,82,74,141,Boro Rice,,,,,,,,,,,,,,,
206,42,139,6.3,22,82.9,71,127,Boro Rice,,,,,,,,,,,,,,,
175,47,37,6.2,34,85,72,133,Boro Rice,,,,,,,,,,,,,,,
150,40,62,6.1,31,83.4,78,120,Boro Rice,,,,,,,,,,,,,,,
350,37,89,6.1,21,77.4,73,128,Boro Rice,,,,,,,,,,,,,,,
224,38,103,6.2,31,77.5,78,148,Boro Rice,,,,,,,,,,,,,,,
168,44,35,6.5,21,84,73,126,Boro Rice,,,,,,,,,,,,,,,
176,41,54,6.3,28,83.3,82,126,Boro Rice,,,,,,,,,,,,,,,
341,35,73,6.2,19,75.9,81,131,Boro Rice,,,,,,,,,,,,,,,
218,35,95,6.1,39,85,77,126,Boro Rice,,,,,,,,,,,,,,,
156,48,37,6.1,19,84.9,73,123,Boro Rice,,,,,,,,,,,,,,,
149,47,59,6.1,35,80,77,133,Boro Rice,,,,,,,,,,,,,,,
364,45,81,6.2,38,76.5,72,126,Boro Rice,,,,,,,,,,,,,,,
179,49,107,6.4,28,80.6,81,147,Boro Rice,,,,,,,,,,,,,,,
157,47,32,6.3,24,84.1,70,141,Boro Rice,,,,,,,,,,,,,,,
166,42,47,6.3,21,78.9,73,121,Boro Rice,,,,,,,,,,,,,,,
332,37,61,6.2,25,76.1,72,117,Boro Rice,,,,,,,,,,,,,,,
188,38,78,6.4,23,79,79,142,Boro Rice,,,,,,,,,,,,,,,
155,44,31,6.4,33,83.9,77,134,Boro Rice,,,,,,,,,,,,,,,
154,39,44,6.3,21,82.7,85,148,Boro Rice,,,,,,,,,,,,,,,
310,32,56,6.2,28,82.4,74,120,Boro Rice,,,,,,,,,,,,,,,
278,31,71,6.3,34,80.5,75,135,Boro Rice,,,,,,,,,,,,,,,
155,45,29,6.4,35,78.6,84,130,Boro Rice,,,,,,,,,,,,,,,
159,38,36,6.3,40,79.6,72,121,Boro Rice,,,,,,,,,,,,,,,
301,31,43,6.5,19,78,85,138,Boro Rice,,,,,,,,,,,,,,,
281,28,53,6.3,40,80.9,81,149,Boro Rice,,,,,,,,,,,,,,,
174,47,41,6.3,40,84.2,72,144,Boro Rice,,,,,,,,,,,,,,,
168,44,74,6.3,29,80.2,82,146,Boro Rice,,,,,,,,,,,,,,,
174,41,106,6.4,30,81.2,84,138,Boro Rice,,,,,,,,,,,,,,,
185,42,145,6.3,25,77,84,129,Boro Rice,,,,,,,,,,,,,,,
167,47,37,6.4,23,77.2,73,119,Boro Rice,,,,,,,,,,,,,,,
173,42,62,6.3,26,83.9,70,128,Boro Rice,,,,,,,,,,,,,,,
345,37,86,6.4,24,75.3,77,144,Boro Rice,,,,,,,,,,,,,,,
226.2,38,105,6.2,33,76.5,73,140,Boro Rice,,,,,,,,,,,,,,,
160,44,36,6.1,39,79.7,83,112,Boro Rice,,,,,,,,,,,,,,,
153,42,54,6.4,33,82.5,79,118,Boro Rice,,,,,,,,,,,,,,,
351,35,73,6.1,24,78.7,72,128,Boro Rice,,,,,,,,,,,,,,,
267,33,95,6.2,38,80.7,73,118,Boro Rice,,,,,,,,,,,,,,,
165,47,39,6.4,38,78.8,85,143,Boro Rice,,,,,,,,,,,,,,,
168,43,66,6.3,35,79.9,72,147,Boro Rice,,,,,,,,,,,,,,,
375,39,93,6.3,34,77.3,82,112,Boro Rice,,,,,,,,,,,,,,,
300,41,123,6.3,24,78.1,70,121,Boro Rice,,,,,,,,,,,,,,,
163,47,37,6.4,21,85,76,143,Boro Rice,,,,,,,,,,,,,,,
163,42,61,6.3,33,75.5,76,128,Boro Rice,,,,,,,,,,,,,,,
363,37,85,6.2,34,83.3,77,137,Boro Rice,,,,,,,,,,,,,,,
215.9,38,102,6.4,37,82.5,78,115,Boro Rice,,,,,,,,,,,,,,,
160,47,37,6.1,27,78.5,80,117,Boro Rice,,,,,,,,,,,,,,,
161,42,61,6.2,31,81.9,78,116,Boro Rice,,,,,,,,,,,,,,,
150,47,29,5,30,75,62,93,Calabash,,,,,,,,,,,,,,,
241,46,38,5.2,27,76.1,68,102,Calabash,,,,,,,,,,,,,,,
301,44,47,4.9,34,75.2,61,98,Calabash,,,,,,,,,,,,,,,
168,48,59,4.8,21,77.5,68,79,Calabash,,,,,,,,,,,,,,,
150,47,29,5.1,22,70.5,77,110,Calabash,,,,,,,,,,,,,,,
241,46,38,5.1,29,76.4,75,68,Calabash,,,,,,,,,,,,,,,
301,44,47,5.1,31,72.2,65,81,Calabash,,,,,,,,,,,,,,,
170,48,59,5.1,26,72.1,78,77,Calabash,,,,,,,,,,,,,,,
153,48,31,5,32,70.6,70,75,Calabash,,,,,,,,,,,,,,,
248,48,45,5.1,26,79.2,75,120,Calabash,,,,,,,,,,,,,,,
313,48,59,4.8,34,73.6,68,102,Calabash,,,,,,,,,,,,,,,
162,54,76,5.1,33,72,66,99,Calabash,,,,,,,,,,,,,,,
156,69,57,5,27,77.4,70,96,Calabash,,,,,,,,,,,,,,,
250,63,64,5.2,22,72.1,75,107,Calabash,,,,,,,,,,,,,,,
314.5,57,70,5.2,25,78,63,111,Calabash,,,,,,,,,,,,,,,
171,54.5,77,4.9,31,79.7,72,72,Calabash,,,,,,,,,,,,,,,
153,48,31,5.1,35,76.3,80,72,Calabash,,,,,,,,,,,,,,,
248,48,45,4.8,21,71.9,66,79,Calabash,,,,,,,,,,,,,,,
313,48,59,4.8,22,71.9,68,84,Calabash,,,,,,,,,,,,,,,
163,54,76,4.8,31,79.7,68,86,Calabash,,,,,,,,,,,,,,,
200,82,61,4.8,33,79.7,76,70,Calabash,,,,,,,,,,,,,,,
285,80,65,4.9,27,75.6,67,74,Calabash,,,,,,,,,,,,,,,
340,78,69,5.1,24,74.3,78,63,Calabash,,,,,,,,,,,,,,,
151,82,76,4.9,29,70.1,61,94,Calabash,,,,,,,,,,,,,,,
205,84,64,4.9,28,73.2,63,101,Calabash,,,,,,,,,,,,,,,
288,81,67,4.9,26,76.4,63,91,Calabash,,,,,,,,,,,,,,,
338,80,67,5.2,30,78.3,72,75,Calabash,,,,,,,,,,,,,,,
151,83,75,5.1,28,79.9,74,99,Calabash,,,,,,,,,,,,,,,
202,81,62,4.9,35,77.8,76,102,Calabash,,,,,,,,,,,,,,,
283,84,63,5.2,24,72.5,69,83,Calabash,,,,,,,,,,,,,,,
342,79,68,4.9,26,71.8,75,75,Calabash,,,,,,,,,,,,,,,
149,84,77,5.1,30,74.5,68,97,Calabash,,,,,,,,,,,,,,,
204,80,63,4.9,22,79.9,62,65,Calabash,,,,,,,,,,,,,,,
286,82,64,5.2,29,70.8,65,67,Calabash,,,,,,,,,,,,,,,
339,81,70,5.2,23,72.8,70,102,Calabash,,,,,,,,,,,,,,,
149,85,74,5.1,32,77.3,62,69,Calabash,,,,,,,,,,,,,,,
206,83,66,4.8,24,71.8,67,85,Calabash,,,,,,,,,,,,,,,
289,80,66,5.1,25,76.6,72,105,Calabash,,,,,,,,,,,,,,,
343,82,72,5.1,29,72.2,72,65,Calabash,,,,,,,,,,,,,,,
152,81,73,5,25,71.8,77,67,Calabash,,,,,,,,,,,,,,,
203,79,65,5.1,22,77.4,76,115,Calabash,,,,,,,,,,,,,,,
287,83,62,5.2,35,74.7,74,91,Calabash,,,,,,,,,,,,,,,
340,83,71,5,33,77.6,60,115,Calabash,,,,,,,,,,,,,,,
165,84,76,5,25,77.2,70,72,Calabash,,,,,,,,,,,,,,,
201,82,67,5,21,71.6,67,106,Calabash,,,,,,,,,,,,,,,
284,81,65,5.2,26,73.6,73,92,Calabash,,,,,,,,,,,,,,,
341,78,73,5.1,20,74,73,101,Calabash,,,,,,,,,,,,,,,
163,86,75,4.9,21,77,71,88,Calabash,,,,,,,,,,,,,,,
207,85,65,4.9,21,71.8,66,107,Calabash,,,,,,,,,,,,,,,
290,82,68,4.9,26,79.1,70,68,Calabash,,,,,,,,,,,,,,,
340,81,68,5,31,76.4,66,114,Calabash,,,,,,,,,,,,,,,
148,83,76,4.8,22,75.3,80,84,Calabash,,,,,,,,,,,,,,,
203,82,63,4.9,33,70.8,77,90,Calabash,,,,,,,,,,,,,,,
285,85,65,5.1,22,73,62,99,Calabash,,,,,,,,,,,,,,,
344,80,69,5.1,32,78.6,64,82,Calabash,,,,,,,,,,,,,,,
166,85,78,5.2,20,75.5,71,107,Calabash,,,,,,,,,,,,,,,
206,81,64,4.9,23,72.2,79,112,Calabash,,,,,,,,,,,,,,,
288,83,66,5.1,25,73.2,68,74,Calabash,,,,,,,,,,,,,,,
341,82,72,5.1,21,71.5,79,63,Calabash,,,,,,,,,,,,,,,
172,86,75,4.9,34,73.3,65,114,Calabash,,,,,,,,,,,,,,,
208,84,67,5,20,77.4,76,105,Calabash,,,,,,,,,,,,,,,
291,81,67,4.9,25,70.4,66,85,Calabash,,,,,,,,,,,,,,,
345,83,73,5.1,35,79.5,69,98,Calabash,,,,,,,,,,,,,,,
176,82,74,4.9,29,75.5,64,66,Calabash,,,,,,,,,,,,,,,
204,80,66,4.9,35,71.2,65,108,Calabash,,,,,,,,,,,,,,,
289,84,63,5.1,30,79.3,62,69,Calabash,,,,,,,,,,,,,,,
342,84,70,5.2,34,79.8,75,104,Calabash,,,,,,,,,,,,,,,
158,85,77,4.8,24,72,78,89,Calabash,,,,,,,,,,,,,,,
202,83,68,5,24,70.8,75,80,Calabash,,,,,,,,,,,,,,,
287,82,64,5,31,73.4,71,112,Calabash,,,,,,,,,,,,,,,
343,79,74,5,25,79.9,68,86,Calabash,,,,,,,,,,,,,,,
174,87,76,5.1,27,76,69,73,Calabash,,,,,,,,,,,,,,,
152,51,31,5,33,72.6,62,87,Calabash,,,,,,,,,,,,,,,
241,49,39,4.8,27,74,68,84,Calabash,,,,,,,,,,,,,,,
303,48,48,5,35,70.2,63,75,Calabash,,,,,,,,,,,,,,,
169,51,58,4.9,31,73.4,61,103,Calabash,,,,,,,,,,,,,,,
55,49,28,5,31,78.2,67,110,Calabash,,,,,,,,,,,,,,,
245,48,38,5.2,24,76.1,66,74,Calabash,,,,,,,,,,,,,,,
302,46,46,4.9,27,79.4,66,81,Calabash,,,,,,,,,,,,,,,
171,50,58,5,33,73.6,75,88,Calabash,,,,,,,,,,,,,,,
152,52,32,5.2,35,74.7,67,72,Calabash,,,,,,,,,,,,,,,
247,51,47,5,26,77.6,68,118,Calabash,,,,,,,,,,,,,,,
231,53,57,5,26,77.2,77,62,Calabash,,,,,,,,,,,,,,,
167,55,78,5,24,71.6,74,64,Calabash,,,,,,,,,,,,,,,
